id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description
li-4128199440,linkedin,https://www.linkedin.com/jobs/view/4128199440,https://www.ycombinator.com/companies/terra-api/jobs/8DAaBMS-frontend-engineer?utm_source=syn_li&urlHash=_VKn,Frontend Engineer,Terra API,"London, England, UK",2025-01-18,fulltime,,,,,,,entry level,Engineering and Information Technology,,,"About the role At Terra, we aim to be the infrastructure for health data and products alike. To do this, we need world\-class engineers capable of making the most intuitive and pleasing UI for our customers and internal team. Branding is a also very important aspect here at Terra. You will work directly with product engineers to build and evaluate UI/UX to ensure everyone stays on their happy path!
   

  

**You Must Be Able To**
 Build, design and manage frontend components Ensure a high quality standard for the code base Work on some of the most challenging frontend designs problems (for example, capable of building a page like this in just a day or two! (Optional) See colours
   

  

 We currently use AWS and GCP along with NextJS (Typescript), HTML, CSS, Tailwind for frontend. We do not discriminate by language and if you have a preferred language within reason, we are happy to let you build with it!
   

  

 What We Value
   

  

 We believe outstanding engineers don’t need extensive training from big\-tech companies but rather able to learn through passion, curiosity, and resourcefulness. They should consider engineering as a craft, continuously refining their skills, solving challenges creatively, and be able to learn from their failures. It's this dedication to growth and excellence that makes you an outstanding engineer.
   

  

 Must haves.
   

  

* Must approach engineering as an artisan, treating it as a craft to be perfected
* Must be fast. We operate at 200mph, and so do you.
* Must be relentless. We never stop, so you are even faster than us.
* Must have customer driven. We think customers first and so should you.
* Must be driven and go above and beyond.
* Must be able to explain and communicate clearly.
* Must be prepared to challenge us and disagree. We are thinking and acting as a team.
* Must be able to work autonomously.
* Must want to work hard.
* Above all, you are genuinely a nice person.


 Big plus You are an athlete, or care about quantifying your data
   

  

 Salary depending on experience: £33,000 \- £80,000 \+ stock options",Software Development,https://uk.linkedin.com/company/terraapi,https://media.licdn.com/dms/image/v2/C4E0BAQFz0JvkvSd6fg/company-logo_100_100/company-logo_100_100/0/1674831397389/terraapi_logo?e=2147483647&v=beta&t=d-IltCmmoIXX6YGjHugPy5k7P3cROd_rAs_2Y8IWBf4,,,,,
li-4127798758,linkedin,https://www.linkedin.com/jobs/view/4127798758,https://jobtoday.com/gb/job/trainee-web-developer-no-experience-required-gbVv31?utm_source=linkedin&urlHash=Y_47,Trainee Web Developer - No Experience Required,IT Career Switch,"London, England, UK",2025-01-16,fulltime,,,,,,,internship,Engineering and Information Technology,,,"Are you looking to kick\-start a new career as a web developer?
   

  

 We are recruiting for companies who are looking to employ our Coding Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee (£25K\-£45K) within 20 miles of your location upon completion.
   

  

 Whether you are working full time, part\-time or unemployed, this package has the flexibility to be completed at a pace that suits you.
   

  

 The traineeship is completed in 3 easy steps.
   

  

 Step 1 \- Front End Coding
   

  

 Complete a selection of professional and industry\-recognised coding courses covering HTML, CSS and Javascript.
   

  

 Step 2 \- Back End Coding \+ Practical Projects
   

  

 You will be studying all the relevant back end coding languages and gaining skills that will qualify you as a fully\-fledged web developer. Step 2 is heavily focused on the practical element of learning.
   

  

 Step 3 \- Building your portfolio
   

  

 The final step will be to build your own portfolio website. The portfolio plays a key part in the hiring process as it gives the employer a real insight into your level of ability, creativity and personality.
   

  

 Your Web Developer Role
   

  

 Once you have completed all of the mandatory training, we will place you into a Web Development/Software Development role, where you will be guaranteed a 25k\-40k salary. We have partnered with a number of large organisations strategically located throughout the UK, providing a nationwide reach of jobs for our candidates.
   

  

 At a one off cost of £1499, or a deposit of £212 followed by 10 interest free monthly instalments of £148, this represents a great opportunity to start a rewarding career in IT and have a real career ladder to start climbing. If you are not offered a role at the end of the training we will refund 100% of your course fees.
   

  

 Apply now and one of our friendly advisors will be in touch.",IT Services and IT Consulting,https://uk.linkedin.com/company/it-career-switch,https://media.licdn.com/dms/image/v2/C4D0BAQFHQEJQzu26SQ/company-logo_100_100/company-logo_100_100/0/1637671273926/it_career_switch_logo?e=2147483647&v=beta&t=IP8IseJDBu5ta_vX-tdg0a62LDZRZokU6KUWtLfcXt4,,,,,
li-4123027846,linkedin,https://www.linkedin.com/jobs/view/4123027846,https://www.tiptopjob.com/jobs/131498031_job.asp?source=indeed_cpc&urlHash=JfwF,Frontend Developer (React),TipTopJob,"London, England, UK",2025-01-11,fulltime,,,,,,,entry level,Engineering and Information Technology,,,"React Frontend Developer (Full:Time, London, Hybrid, Permanent)
   

  

 Leading advanced data analytics company are looking for Frontend Developers with React experience (JavaScript or Typescript). With nearly 20 years in the industry, have developed a highly advanced research and trading platform that is low latency, high performing, and used across the world.
   

  

 Role
   

  

 As a Frontend React Engineer you will be joining a small, tight:knit team, responsible for developing our web, mobile and internal tools interfaces, using JavaScript and Typescript : React. You will programme in a Kubernetes and Docker development environment, collaborate with colleagues to develop new products and improve the codebase, and improve features on a real time and data rich platform.
   

  

**React Developer Requirements**
 : 2\+ years experience of Frontend Development
   

  

 : Excellent knowledge of JavaScript/Typecript (ES6\)
   

  

 : Excellent knowledge of ReactJS (and other frameworks)
   

  

 : Experience with developing and maintaining quality and responsive UX/UI
   

  

 : Some knowledge of HTML5/CSS3
   

  

 : Some knowledge of Linux and Gitlab
   

  

 : Some knowledge of Unit Testing (PHPUnit)
   

  

 : Degree Educated (Preferred)
   

  

 Offer
   

  

 : Up to GBP 55,000
   

  

 : Share options available into the company and bonuses
   

  

 : 25 days holiday plus public bank holidays and 2 bonus days at Christmas (Option to buy or sell 5 days)
   

  

 : Hybrid Working Model : 1 day a week in London
   

  

 : Casual working environment
   

  

 : Partially paid sabbaticals after 5 years
   

  

 : Free lunch and monthly social events",Advertising Services,https://uk.linkedin.com/company/tiptopjob,https://media.licdn.com/dms/image/v2/C4D0BAQHIm8imk1eRSA/company-logo_100_100/company-logo_100_100/0/1631323179852?e=2147483647&v=beta&t=3HUFvz-THeoXK_jYTDtwEqKYSA5QinGJMmqYWRSIYdI,,,,,
li-4123027809,linkedin,https://www.linkedin.com/jobs/view/4123027809,https://www.tiptopjob.com/jobs/131498029_job.asp?source=indeed_cpc&urlHash=QWkX,Frontend Developer,TipTopJob,"London, England, UK",2025-01-11,fulltime,,,,,,,mid-senior level,Engineering and Information Technology,,,"Frontend Developer(Fully: Remote or Office Based (London))
   

  

 Global marketing tech firm looking for a talented senior software developer. The award:winning company are looking to expand their team, as they grow their company across the globe. They are pioneers in their marketing referral technology, helping to grow their big clients such as BT, even further.
   

  

 Role
   

  

 As a senior software developer, you will be responsible for designing solutions to problems from the group up, reviewing code from members of your team, TDD all of your code, help teammates improve in the technical skills and knowledge, whilst also working closely with product managers and company wide stakeholders. You will be part of an enthusiastic team responsible for product development of platform services, which is mostly high scale backed services. You will have the ability to choose the right tools and methods that you decide are appropriate to solve any problems, but will be supported by experienced team members.
   

  

**Senior Software Developer Requirements**
 : 3 years experience in Javascript and/or Typescript
   

  

 : Experience with React framework
   

  

 : Some experience with an OOP language (Ruby, Python, Java, or C)
   

  

 : Proficiency with Git source control
   

  

 : Efficient HTML and CSS ability
   

  

 : Good communication skills in written, verbal, and code
   

  

**Offer**
 : Up to GBP 90,000
   

  

 : Grow you to the next stage of your career with a personal learning budget for your growth
   

  

 : Company ownership shares available
   

  

 : Well:being support
   

  

 : Ensure your work is challenging and meaningful
   

  

 : WFH support
   

  

 : The freedom to concentrate and make impactful decisions
   

  

 : Develop skills outside pure tech",Advertising Services,https://uk.linkedin.com/company/tiptopjob,https://media.licdn.com/dms/image/v2/C4D0BAQHIm8imk1eRSA/company-logo_100_100/company-logo_100_100/0/1631323179852?e=2147483647&v=beta&t=3HUFvz-THeoXK_jYTDtwEqKYSA5QinGJMmqYWRSIYdI,,,,,
li-4122060367,linkedin,https://www.linkedin.com/jobs/view/4122060367,https://easyapply.jobs/r/snFrYys23pu00s4kZ72i&urlHash=u1yF,Front-end Engineer,Huguenot Services Limited,"London, England, UK",2025-01-10,fulltime,,,,,,,entry level,Other,,,"**About Us**
 Huguenots generates highly personalised solutions for fund management clients of all sizes, from start\-up boutiques to global asset management firms, using our in\-house investment reporting platform. All clients are assured of the attention to detail, effortless customisation and peace of mind that are hallmarks of a solution crafted by Huguenots. The solutions we deliver are business critical and highly visible, delivering key information to investors worldwide. On a personal level, we are a close\-knit team of 30 talented individuals, who thrive on collaboration and enjoy one another’s company.
   

  

**About The Role**
 We’re building new products as we scale, our reputation is built on ensuring an excellent user experience. You will be involved in a mix of new web builds for clients and just as importantly, build out a new suite of products on our own platform for internal and client use.
   

  

 Beyond technical expertise, collaboration is key, educating team members on development decisions, being part of client proposals and of course implementing changes based on feedback.
   

  

**Requirements**
 We’re looking for someone who is detail\-orientated, who is passionate about developing and maintaining websites for our clients, and takes pride in carrying out their work to an exceptionally high standard. There is also scope to take on additional responsibility and assist with the organisation of the team and our projects.
   

  

* Experience of building well designed, content rich CMS (Content Management System) driven websites
* Fluency in VanillaJS and familiarity with JavaScript libraries typically used in CMS projects, e.g. AlpineJS, JQuery and HTMX
* Good understanding of Web fundamentals with a focus on CSS
* A proven track record of building client\-facing projects from the ground up
* Evaluating and working with a range of styling methods


**What To Expect In The Role**
* Pick up project brief’s quickly, asking questions early and often
* Confident in problem\-solving and demonstrating an analytical, inquisitive mind that welcomes new challenges
* Engaging communication style, able to challenge ideas and drive projects forward


**Compensation, Perks \& Benefits**
* Discretionary bonus scheme
* Best\-in\-class medical/dental insurance
* Worldwide travel insurance
* Modern offices with stunning City views
* Regular company events in a sociable workplace environment
* Roof terrace, canteen, cycle storage and showers
* Pension contribution
* Cycle to work scheme",IT Services and IT Consulting,https://uk.linkedin.com/company/huguenot-services-limited,https://media.licdn.com/dms/image/v2/C4D0BAQHIeTv_fRsTXg/company-logo_100_100/company-logo_100_100/0/1630572153736/huguenot_services_limited_logo?e=2147483647&v=beta&t=d_mahSi_eS0d3mEnFtY7Wm0CJIA33tUcqNgv1LhOHsA,,,,,
li-4119122664,linkedin,https://www.linkedin.com/jobs/view/4119122664,https://careers.walr.com/jobs/5409332-software-engineer-frontend&urlHash=aMwo,"Software Engineer, Frontend",Walr,"London, England, UK",2025-01-09,fulltime,,,,,,,mid-senior level,Engineering and Information Technology,,,"**About Walr**
 Walr is a data creation company that supports insight professionals globally. It specializes in reaching diverse audience segments, leveraging proprietary technology, and offering bespoke services. With a comprehensive suite of tools, backed by a team of seasoned industry professionals, Walr’s services include efficient data collection methods, intuitive data visualization and reporting techniques, and supportive and transparent advice. Walr exists to unify the complex and fragmented research process by introducing more efficient, rapid, and straightforward methods.
   

  

 As a rapidly growing company and acclaimed recipient of the Best Workplace in Tech™ and Best Workplace in Wellbeing™ titles, we're not just offering a job – we're inviting you to shape our journey. Empowerment and growth define us. Join us in reshaping the future of business.
   

  

 Roles and Responsibilities
   

  

**Frontend Software Development**
* Implement frontend systems using JavaScript, TypeScript \& ReactJS.
* Design and develop responsive, interactive, and user\-friendly UIs that work across a wide range of browsers.
* Collaborate closely with backend engineers to ensure seamless integration between frontend and backend services.
* Ensure a robust software development culture by maintaining high engineering standards.
* Work within a DevSecOps environment ensuring CI/CD pipelines, observability, automation and secure coding standards are applied.


**Cross\-Functional Collaboration \& Agile Delivery**
* Work in agile and cross\-functional teams to deliver effective solutions that excite our users and deliver value to the business.
* Actively contribute to all stages of product development, from ideation to production deployment, supporting the continuous delivery of new features.


**Minimum Qualifications**
* 3\+ years' experience in developing software solutions for the frontend.
* Good experience in JavaScript, TypeScript and ReactJS.
* Good experience in developing responsive and accessible UIs.
* Good experience with modern build tools (e.g., Webpack, Babel, or similar) and frontend development testing frameworks.
* Confident working in an agile and cross\-functional domain that includes working with Product Managers, Product Designers \& End\-Users.
* Good experience working in DevOps/DevSecOps environments (Azure DevOps preferred) including CI/CD, Observability, Automation \& Security
* Excellent communication with the ability to articulate complex technical concepts


**Preferred Qualifications**
* Bachelor’s degree in computer science, Engineering, or a related field, or equivalent practical experience.
* Experience in Product Design, wireframing, storyboarding, etc.
* Experience in SaaS\-based operating environments


 Additional Information
   

  

 At Walr, we understand the importance of tailoring benefits to meet the unique needs of our diverse workforce spread across the globe. With a commitment to offering region\-specific benefits while fostering a shared sense of community, we're excited to present some of the key benefits that unite us as a global team.
   

  

* 30 Days Annual Leave
* Family Friendly Policies
* Star of The Quarter Award
* Summer and Winter Parties
* Work from Anywhere for up to 8 weeks a year.
* Choice of Tech
* Pension Match Programme


 What We Value:
   

  

* We Delight through Dedication: We go above and beyond for our clients, committed to delivering best\-in\-class service, understanding that every client we have is core to our success. We are the first to respond, the problem solver, the true partner and we stop at nothing until we have found a way to delight our clients.
* We Lead with Trust: We approach our work with a data driven mindset, balanced by an acknowledgement that we are all human, first. Driven by three of our other values; ‘Delight through dedication, ‘Revel in Innovation’, and ‘Empowered to act like an Owner’ \- we place trust in the entire team to find new and better way to deliver excellent client experiences at Walr.
* We Revel in Innovation: We aren’t afraid to take informed risks, learn from mistakes and act with purpose to build the future. The creation of value defines our approach to innovation and runs through the core of the entire business. Continually challenging the norm, we are change agents who deliver innovative, new solutions for our clients in both technology and delivery, setting a benchmark for what great service looks like in our industry.
* We Celebrate as A Team: Walr is a globally distributed team that equally emphasizes individual accountability and collective success. We each understand what success at Walr looks like, and how it’s measures, taken the time to celebrate actions and behaviors across the business that drive us towards this goal. We invest in growth through shared problem solving, learning and development and a consistent drive to improve how we work collectively. Prioritizing inclusivity and leaving egos behind, we see that the whole is truly greater than the sum of its parts.
* We Are Empowered to Act Like Owners: Regardless of background, tenure or title, all employees are empowered to be ambitious, act courageously and be accountable for their actions, in pursuit of the future of Walr. Embracing the discomfort of change, owners continually focus on driving the key metrics for success, appreciating the value each client brings to the table and stopping at nothing to ensure we deliver exceptional experiences.",Market Research,https://uk.linkedin.com/company/walr,https://media.licdn.com/dms/image/v2/C560BAQFjD_nr0VYx2g/company-logo_100_100/company-logo_100_100/0/1649067625095/walr_logo?e=2147483647&v=beta&t=i5wDQMvQIjswpmc1gpArIGmV0rgP34stbRDKfN9xe90,,,,,
li-4116257469,linkedin,https://www.linkedin.com/jobs/view/4116257469,https://www.careers-page.com/kravluxe/job/L6Y7494R?utm_medium=free_job_board&utm_source=linkedin&urlHash=B8u8,Frontend / Full Stack Engineer (Remote),AltoVita,"London, England, UK",2025-01-04,fulltime,,,,,,,not applicable,Engineering and Information Technology,,,"**Who are we?**
 We are a female\-founded scale\-up, currently made up of around 80 AltoVitians. Our fully\-remote team hails from 14 different countries and collectively speaks 18 languages. Most of the time, it is our differences that are celebrated (whether they are in cultures, personalities, preferences or passions). However, despite those differences, there are a few principal attributes that we share which define an AltoVitian. AltoVitians are tenacious, humble, and thoughtful. Being humble is important because it enables us to keep learning every day, and tenacity is necessary because in a high performing environment as fast\-paced as AltoVita, taking it slow is simply not an option!
   

  

 Today is a particularly exciting time to join our team, we closed our Series A financing round in late 2022 and will be starting the Series B rounds in the coming year. This next chapter wont always be a smooth ride, but it will be filled with innovation, excitement and opportunities, so if you are ready for the challenge (and the fun!) of growing with us, we would love to hear from you.
   

  

**What We Do**
 AltoVita is a multi\-award winning accommodation platform that enables enterprises to consolidate accommodation programmes through the power of proprietary technology paired with a human centric approach.
   

  

 AltoVitas unique offering sets us apart in the market, providing a network of 7 million\+ verified and vetted properties are all duty of care compliant, backed by a four\-tier quality control process; located in over 35\.000 cities \& 165 countries world\-wide. With our award\-winning enterprise software and human\-centric approach, we deliver smart and sustainable solutions to global talent mobility \& business travel managers worldwide.
   

  

 Our Client Development team plays a vital role as trusted advisors and partners to our clients. Embodying our consultative philosophy, this dedicated team proactively shares new market insights, analyzes data, and empowers our clients with the tools and knowledge to make informed decisions, ensuring our clients are always equipped to make the best choices for their corporate housing needs.
   

  

 AltoVitas technology provides a cloud\-based bridge between the highly fragmented property distribution system and multinational Global 2000 companies. A proprietary two\-way API integration with a standardised sourcing process reduces the legacy, inefficient 48\-to\-72\-hour bidding process down to a few minutes, saving valuable time and money.
   

  

 Corporate clients love the bespoke user interface seamlessly configured to their mobility policies, and employees enjoy a greater sense of choice and support in their relocation journey.
   

  

**About The Role**
 We are seeking a driven and detail\-oriented Frontend or Full Stack Engineer with strong expertise in React to contribute significantly to the evolution of our technology framework. This role is pivotal for delivering great user experience and journeys on AltoVitas public facing platforms. The successful candidate will have the opportunity to make an immediate impact in a growing business and lay the groundwork for future roles.
   

  

 As a Frontend / Full Stack Engineer, you should excel in translating user requirements into effective, user\-centric solutions. Hands\-on experience in a frontend role and understanding of web applications and architectures is crucial. Were looking for a team member who will be committed to the cause, flexible, reliable and respectful, always ready to support their peers, seek collaboration when needed and contribute to team discussions. The successful candidate should be motivated and not afraid to challenge the status quo or share new and innovative ideas.
   

  

**Key Responsibilities**
* Technology Enhancement: Deliver customer\-centric features on our existing React based frontend platforms. Evaluate and recommend improvements to enhance performance, usability and scalability
* Code Development and Integration: Maintain and upgrade existing codebases while developing new features for AltoVitas next generation platforms. Ensure that high compatibility and seamless integration with backend systems is possible. Participate in peer reviews to uphold high quality standards
* Testing and Quality Assurance: Implement comprehensive testing including unit, integration and end\-to\-end tests where needed to guarantee the functionality, reliability and quality of frontend applications. Adapt a shift left mindset where as much as possible is testing left in the process to support a continuous integration and delivery solution.
* Collaboration: Work closely with product teams, backend\-end developers, DevOps, and QA engineers to align technologies with business objectives, improve user experiences, and strengthen development capabilities.
* DevSecOps Practices: Follow Agile Methodologies and Enhance CI/CD pipelines and embed security practices throughout the development lifecycle to optimise deployments and bolster system security.
* Performance Optimisation: Focus on optimising application performance through strategic application enhancements, prioritising user experience, scalability, and speed.


**Requirements**
 The role is primarily frontend focussed but can be full stack if the candidate has the skills
   

  

**Required Frontend Skills**
* Frontend Development: 3\+ years of experience in frontend development, with a focus on React and Typescript.
* Experience with React Hook Forms, redux, and other state\-management tech.
* RTK Query, Styled Components \& NextJS would be a plus
* Components \- Experience maintaining a reusable library of components
* Experience creating responsive components and UI for public facing applications
* Automated Testing: Experience with automated testing practices and tech (JEST, RTL, Cypress).
* CI/CD: Proven ability in utilising automated pipelines for fast build, deployment, security checks, and quality assurance.


 Desirable Skills
   

  

* If Fullstack \- Experience building \& maintaining APIs in either JS or PHP technologies along with backend testing strategies
* Experience in helping monitor product use, send user interaction events, create graph dashboards for tracking.


**Ways of Working**
 AltoVita is a fully remote team. Although we have regular touch\-points throughout the week, organise off\-sites in several locations, trust is essential for us to work effectively as a team. Our founders empower us to make decisions autonomously, and in turn expect that we also empower our direct reports.
   

  

**Join our Team**
 AltoVita is the sum of every member of the team. We know that a strong team is a diverse team, and are therefore committed to being an equal opportunity employer, so please bring all of yourself to the interviews and most importantly to our team.
   

  

 Becoming an AltoVitian means you will benefit from:
   

  

* A team that will always put you first
* Incredible opportunities for growth and career advancement
* A fully\-remote working environment
* Wellness benefits and a wellness budget, which can be spent on a range of options including gym memberships, home meal delivery services, mindfulness applications, and many more
* A work\-from\-home allowance to get your home\-office set up
* A generous vacation package so you can recharge or explore",Software Development,https://uk.linkedin.com/company/altovita,https://media.licdn.com/dms/image/v2/D4D0BAQELS8VRINHSBw/company-logo_100_100/company-logo_100_100/0/1719840057269/altovita_logo?e=2147483647&v=beta&t=Rh7ok0yBkUe333Ol-eb2ic4SgeD2xwrMA9GkHWxtwhA,,,,,
li-4122562060,linkedin,https://www.linkedin.com/jobs/view/4122562060,,Frontend Engineer,Aurora,"London, England, UK",2024-12-27,fulltime,,,,,,,mid-senior level,Engineering,,,"Remote
   

  

 $60,000 \- $100,000
   

  

 Meaningful founding equity
   

  

 \+\+\+
   

  

 Aurora is a next generation AI lifestyle manager empowering the world's highest performers to unlock their true potential.
   

  

 Our members are the new era of pioneers: founders, athletes and artists breaking boundaries and embracing the largest challenges facing humanity.
   

  

 We are a team of tier\-1 backed and exited operators united in our cultural values:
   

  

* We seek truth
* We are high\-leverage
* We are courageous
* We care deeply
* We believe impossible is an attitude


 We have raised from tier\-1 investors, including our Chairman Alex Macdonald, who exited the digital concierge service Velocity Black for $300m.
   

  

 Our team of 10\+ is looking for a full\-time frontend engineer to join as a founding member of the engineering team. You will work directly with our CTO \& CPO to build out Aurora's UI / UX.
   

  

 The role reports directly to the CTO and has the potential to grow into an executive position across engineering, product, and design.
   

  

 Why Aurora:
   

  

* High Leverage: Place a daily\-use product in the hands of the world's most ambitious and high achieving individuals, empowering them to maximize their impact on the world
* Cutting Edge AI: Gain hands\-on experience working on a revolutionary AI system that enhances lifestyle curation at the highest level
* Generationally Defining: Be an essential part of building the Apple of concierge \- a \>$100bn opportunity at the intersection of technology, luxury, and longevity


 You can find our public member application page here: joinaurora.co
   

  

**Requirements**
* Experience
* 3\+ years of professional experience in developing web applications, with a focus on building user interfaces and interactive features
* Frontend Framework Proficiency
* Strong experience with at least one modern frontend framework such as Vue.js (preferred), React, or Angular
* HTMX Familiarity
* Hands\-on experience with HTMX or similar technologies for creating dynamic, AJAX\-driven content
* Understanding of the trade\-offs and benefits of using HTMX in web applications
* Responsive Design
* Ability to build cross\-browser compatible, responsive web UIs that work seamlessly on various devices and screen sizes
* API Integration Experience
* Experience integrating with RESTful APIs, understanding of how to structure frontend applications to consume and interact with backend services
* Testing and Debugging
* Experience writing unit and integration tests
* Meticulous attention to testing and debugging code to ensure high\-quality output
* Collaboration Skills
* Strong communication and teamwork skills for working closely with designers, product managers, and backend engineers to deliver cohesive solutions


**Benefits**
* Competitive salary
* Founding stock options package
* $2,000 Tech \& Education budget
* Holistic lifestyle perks \& access opportunities
* Full health benefits; 90% coverage, including full dental \& vision",IT Services and IT Consulting,https://www.linkedin.com/company/joinaurora,https://media.licdn.com/dms/image/v2/D4E0BAQH_1yZuPDqvmQ/company-logo_100_100/company-logo_100_100/0/1733745172429/joinaurora_logo?e=2147483647&v=beta&t=b3WU958Cu_MNjN1hziebid5ouwC5CF1Sgq7HOa4Nz58,,,,,
li-3934736707,linkedin,https://www.linkedin.com/jobs/view/3934736707,https://jobtoday.com/gb/job/trainee-web-developer-no-experience-required-lZQrR7?utm_source=linkedin&urlHash=JeJk,Trainee Web Developer - No Experience Required,IT Career Switch,"Romford, England, UK",2024-05-24,fulltime,,,,,,,internship,Engineering and Information Technology,,,"Are you looking to kick\-start a new career as a web developer?
   

  

 We are recruiting for companies who are looking to employ our Coding Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee (£25K\-£45K) within 20 miles of your location upon completion.
   

  

 Whether you are working full time, part\-time or unemployed, this package has the flexibility to be completed at a pace that suits you.
   

  

 The traineeship is completed in 3 easy steps.
   

  

 Step 1 \- Front End Coding
   

  

 Complete a selection of professional and industry\-recognised coding courses covering HTML, CSS and Javascript.
   

  

 Step 2 \- Back End Coding \+ Practical Projects
   

  

 You will be studying all the relevant back end coding languages and gaining skills that will qualify you as a fully\-fledged web developer. Step 2 is heavily focused on the practical element of learning.
   

  

 Step 3 \- Building your portfolio
   

  

 The final step will be to build your own portfolio website. The portfolio plays a key part in the hiring process as it gives the employer a real insight into your level of ability, creativity and personality.
   

  

 Your Web Developer Role
   

  

 Once you have completed all of the mandatory training, we will place you into a Web Development/Software Development role, where you will be guaranteed a 25k\-40k salary. We have partnered with a number of large organisations strategically located throughout the UK, providing a nationwide reach of jobs for our candidates.
   

  

 At a one off cost of £1499, or a deposit of £212 followed by 10 interest free monthly instalments of £148, this represents a great opportunity to start a rewarding career in IT and have a real career ladder to start climbing. If you are not offered a role at the end of the training we will refund 100% of your course fees.
   

  

 Apply now and one of our friendly advisors will be in touch.",IT Services and IT Consulting,https://uk.linkedin.com/company/it-career-switch,https://media.licdn.com/dms/image/v2/C4D0BAQFHQEJQzu26SQ/company-logo_100_100/company-logo_100_100/0/1637671273926/it_career_switch_logo?e=2147483647&v=beta&t=IP8IseJDBu5ta_vX-tdg0a62LDZRZokU6KUWtLfcXt4,,,,,
li-3925854467,linkedin,https://www.linkedin.com/jobs/view/3925854467,https://jobtoday.com/gb/job/trainee-web-developer-no-experience-required-xGXVvy?utm_source=linkedin&urlHash=cvOM,Trainee Web Developer - No Experience Required,IT Career Switch,"Dartford, England, UK",2024-05-14,fulltime,,,,,,,internship,Engineering and Information Technology,,,"Are you looking to kick\-start a new career as a web developer?
   

  

 We are recruiting for companies who are looking to employ our Coding Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee (£25K\-£45K) within 20 miles of your location upon completion.
   

  

 Whether you are working full time, part\-time or unemployed, this package has the flexibility to be completed at a pace that suits you.
   

  

 The traineeship is completed in 3 easy steps.
   

  

 Step 1 \- Front End Coding
   

  

 Complete a selection of professional and industry\-recognised coding courses covering HTML, CSS and Javascript.
   

  

 Step 2 \- Back End Coding \+ Practical Projects
   

  

 You will be studying all the relevant back end coding languages and gaining skills that will qualify you as a fully\-fledged web developer. Step 2 is heavily focused on the practical element of learning.
   

  

 Step 3 \- Building your portfolio
   

  

 The final step will be to build your own portfolio website. The portfolio plays a key part in the hiring process as it gives the employer a real insight into your level of ability, creativity and personality.
   

  

 Your Web Developer Role
   

  

 Once you have completed all of the mandatory training, we will place you into a Web Development/Software Development role, where you will be guaranteed a 25k\-40k salary. We have partnered with a number of large organisations strategically located throughout the UK, providing a nationwide reach of jobs for our candidates.
   

  

 At a one off cost of £1499, or a deposit of £212 followed by 10 interest free monthly instalments of £148, this represents a great opportunity to start a rewarding career in IT and have a real career ladder to start climbing. If you are not offered a role at the end of the training we will refund 100% of your course fees.
   

  

 Apply now and one of our friendly advisors will be in touch.",IT Services and IT Consulting,https://uk.linkedin.com/company/it-career-switch,https://media.licdn.com/dms/image/v2/C4D0BAQFHQEJQzu26SQ/company-logo_100_100/company-logo_100_100/0/1637671273926/it_career_switch_logo?e=2147483647&v=beta&t=IP8IseJDBu5ta_vX-tdg0a62LDZRZokU6KUWtLfcXt4,,,,,
